method,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,acc_apple_mean,acc_apple_std,acc_aquarium_fish_mean,acc_aquarium_fish_std,acc_baby_mean,acc_baby_std,acc_bear_mean,acc_bear_std,acc_beaver_mean,acc_beaver_std,acc_bed_mean,acc_bed_std,acc_bee_mean,acc_bee_std,acc_beetle_mean,acc_beetle_std,acc_bicycle_mean,acc_bicycle_std,acc_bottle_mean,acc_bottle_std,acc_bowl_mean,acc_bowl_std,acc_boy_mean,acc_boy_std,acc_bridge_mean,acc_bridge_std,acc_bus_mean,acc_bus_std,acc_butterfly_mean,acc_butterfly_std,acc_camel_mean,acc_camel_std,acc_can_mean,acc_can_std,acc_castle_mean,acc_castle_std,acc_caterpillar_mean,acc_caterpillar_std,acc_cattle_mean,acc_cattle_std,acc_chair_mean,acc_chair_std,acc_chimpanzee_mean,acc_chimpanzee_std,acc_clock_mean,acc_clock_std,acc_cloud_mean,acc_cloud_std,acc_cockroach_mean,acc_cockroach_std,acc_couch_mean,acc_couch_std,acc_crab_mean,acc_crab_std,acc_crocodile_mean,acc_crocodile_std,acc_cup_mean,acc_cup_std,acc_dinosaur_mean,acc_dinosaur_std,acc_dolphin_mean,acc_dolphin_std,acc_elephant_mean,acc_elephant_std,acc_flatfish_mean,acc_flatfish_std,acc_forest_mean,acc_forest_std,acc_fox_mean,acc_fox_std,acc_girl_mean,acc_girl_std,acc_hamster_mean,acc_hamster_std,acc_house_mean,acc_house_std,acc_kangaroo_mean,acc_kangaroo_std,acc_keyboard_mean,acc_keyboard_std,acc_lamp_mean,acc_lamp_std,acc_lawn_mower_mean,acc_lawn_mower_std,acc_leopard_mean,acc_leopard_std,acc_lion_mean,acc_lion_std,acc_lizard_mean,acc_lizard_std,acc_lobster_mean,acc_lobster_std,acc_man_mean,acc_man_std,acc_maple_tree_mean,acc_maple_tree_std,acc_motorcycle_mean,acc_motorcycle_std,acc_mountain_mean,acc_mountain_std,acc_mouse_mean,acc_mouse_std,acc_mushroom_mean,acc_mushroom_std,acc_oak_tree_mean,acc_oak_tree_std,acc_orange_mean,acc_orange_std,acc_orchid_mean,acc_orchid_std,acc_otter_mean,acc_otter_std,acc_palm_tree_mean,acc_palm_tree_std,acc_pear_mean,acc_pear_std,acc_pickup_truck_mean,acc_pickup_truck_std,acc_pine_tree_mean,acc_pine_tree_std,acc_plain_mean,acc_plain_std,acc_plate_mean,acc_plate_std,acc_poppy_mean,acc_poppy_std,acc_porcupine_mean,acc_porcupine_std,acc_possum_mean,acc_possum_std,acc_rabbit_mean,acc_rabbit_std,acc_raccoon_mean,acc_raccoon_std,acc_ray_mean,acc_ray_std,acc_road_mean,acc_road_std,acc_rocket_mean,acc_rocket_std,acc_rose_mean,acc_rose_std,acc_sea_mean,acc_sea_std,acc_seal_mean,acc_seal_std,acc_shark_mean,acc_shark_std,acc_shrew_mean,acc_shrew_std,acc_skunk_mean,acc_skunk_std,acc_skyscraper_mean,acc_skyscraper_std,acc_snail_mean,acc_snail_std,acc_snake_mean,acc_snake_std,acc_spider_mean,acc_spider_std,acc_squirrel_mean,acc_squirrel_std,acc_streetcar_mean,acc_streetcar_std,acc_sunflower_mean,acc_sunflower_std,acc_sweet_pepper_mean,acc_sweet_pepper_std,acc_table_mean,acc_table_std,acc_tank_mean,acc_tank_std,acc_telephone_mean,acc_telephone_std,acc_television_mean,acc_television_std,acc_tiger_mean,acc_tiger_std,acc_tractor_mean,acc_tractor_std,acc_train_mean,acc_train_std,acc_trout_mean,acc_trout_std,acc_tulip_mean,acc_tulip_std,acc_turtle_mean,acc_turtle_std,acc_wardrobe_mean,acc_wardrobe_std,acc_whale_mean,acc_whale_std,acc_willow_tree_mean,acc_willow_tree_std,acc_wolf_mean,acc_wolf_std,acc_woman_mean,acc_woman_std,acc_worm_mean,acc_worm_std
convnext_tiny,0.7393,,0.7425287322923398,,0.7392999999999997,,0.739207543216542,,0.9,,0.84,,0.62,,0.58,,0.68,,0.8,,0.79,,0.79,,0.84,,0.87,,0.54,,0.59,,0.87,,0.64,,0.75,,0.82,,0.76,,0.86,,0.69,,0.75,,0.85,,0.87,,0.73,,0.79,,0.86,,0.68,,0.7,,0.58,,0.84,,0.73,,0.69,,0.63,,0.67,,0.62,,0.78,,0.52,,0.79,,0.77,,0.69,,0.84,,0.69,,0.89,,0.81,,0.82,,0.48,,0.62,,0.52,,0.68,,0.97,,0.88,,0.57,,0.74,,0.71,,0.94,,0.84,,0.47,,0.85,,0.76,,0.86,,0.65,,0.84,,0.76,,0.79,,0.7,,0.64,,0.61,,0.82,,0.71,,0.92,,0.84,,0.73,,0.83,,0.45,,0.63,,0.6,,0.92,,0.87,,0.64,,0.6,,0.85,,0.6,,0.77,,0.92,,0.66,,0.7,,0.88,,0.72,,0.88,,0.76,,0.83,,0.81,,0.86,,0.63,,0.68,,0.86,,0.7,,0.56,,0.77,,0.52,,0.71,
hog_svm,0.2592,,0.22098871284428573,,0.2592,,0.22604391227684226,,0.57,,0.17,,0.06,,0.02,,0.03,,0.29,,0.09,,0.03,,0.48,,0.58,,0.23,,0.05,,0.15,,0.23,,0.11,,0.04,,0.27,,0.33,,0.29,,0.12,,0.62,,0.41,,0.16,,0.3,,0.57,,0.2,,0.1,,0.14,,0.58,,0.32,,0.28,,0.25,,0.1,,0.31,,0.01,,0.05,,0.26,,0.24,,0.16,,0.18,,0.24,,0.61,,0.25,,0.27,,0.01,,0.06,,0.1,,0.43,,0.53,,0.29,,0.0,,0.11,,0.64,,0.6,,0.49,,0.0,,0.31,,0.3,,0.4,,0.15,,0.59,,0.66,,0.33,,0.2,,0.03,,0.0,,0.02,,0.17,,0.67,,0.45,,0.32,,0.6,,0.0,,0.35,,0.08,,0.3,,0.64,,0.01,,0.05,,0.27,,0.04,,0.23,,0.54,,0.15,,0.19,,0.46,,0.42,,0.5,,0.0,,0.09,,0.16,,0.42,,0.05,,0.04,,0.76,,0.35,,0.15,,0.27,,0.05,,0.14,
pca_svm,0.0902,,0.07197659293381557,,0.09019999999999997,,0.05580108084267299,,0.23,,0.42,,0.03,,0.0,,0.01,,0.01,,0.01,,0.06,,0.18,,0.33,,0.0,,0.0,,0.09,,0.16,,0.04,,0.0,,0.15,,0.18,,0.0,,0.01,,0.45,,0.17,,0.19,,0.22,,0.58,,0.0,,0.01,,0.0,,0.02,,0.01,,0.01,,0.01,,0.01,,0.05,,0.0,,0.02,,0.08,,0.03,,0.01,,0.0,,0.04,,0.55,,0.01,,0.0,,0.0,,0.01,,0.01,,0.08,,0.37,,0.05,,0.01,,0.04,,0.56,,0.01,,0.04,,0.0,,0.07,,0.0,,0.13,,0.03,,0.36,,0.25,,0.0,,0.03,,0.01,,0.0,,0.01,,0.02,,0.49,,0.15,,0.01,,0.04,,0.0,,0.08,,0.02,,0.19,,0.21,,0.0,,0.0,,0.0,,0.0,,0.02,,0.08,,0.0,,0.0,,0.29,,0.22,,0.05,,0.0,,0.0,,0.03,,0.36,,0.01,,0.0,,0.18,,0.0,,0.0,,0.07,,0.03,,0.02,
resnet18,0.7471,,0.7490428228737609,,0.7471000000000001,,0.7467462570757512,,0.86,,0.84,,0.63,,0.64,,0.66,,0.78,,0.83,,0.79,,0.87,,0.91,,0.57,,0.42,,0.83,,0.7,,0.7,,0.85,,0.77,,0.86,,0.71,,0.73,,0.92,,0.85,,0.71,,0.85,,0.86,,0.68,,0.73,,0.59,,0.85,,0.76,,0.66,,0.75,,0.74,,0.72,,0.78,,0.57,,0.82,,0.71,,0.61,,0.89,,0.69,,0.9,,0.79,,0.79,,0.5,,0.65,,0.51,,0.73,,0.95,,0.88,,0.51,,0.74,,0.6,,0.94,,0.86,,0.5,,0.87,,0.79,,0.89,,0.7,,0.9,,0.72,,0.76,,0.69,,0.52,,0.68,,0.8,,0.68,,0.93,,0.81,,0.76,,0.82,,0.5,,0.55,,0.58,,0.95,,0.9,,0.77,,0.73,,0.77,,0.6,,0.76,,0.92,,0.73,,0.73,,0.88,,0.74,,0.85,,0.81,,0.93,,0.82,,0.78,,0.63,,0.58,,0.92,,0.73,,0.65,,0.78,,0.51,,0.75,
