seed,method,epoch,train_loss,train_acc,val_loss,val_acc
42,convnext_tiny,1,3.5403491428375244,0.1544,2.82810686378479,0.2754
42,convnext_tiny,2,2.45613067237854,0.35726,2.041719110298157,0.449
42,convnext_tiny,3,1.9134733833694457,0.47652,1.6883931325912476,0.5315
42,convnext_tiny,4,1.597728537826538,0.54926,1.4807025057792664,0.5804
42,convnext_tiny,5,1.371155658493042,0.60556,1.417003024482727,0.5946
42,convnext_tiny,6,1.172706964378357,0.65884,1.3072305103302002,0.6337
42,convnext_tiny,7,1.0159117095947265,0.69946,1.226518908882141,0.6569
42,convnext_tiny,8,0.8706587733078003,0.7378,1.1688169430732727,0.679
42,convnext_tiny,9,0.7273043130016327,0.7762,1.124178849887848,0.6948
42,convnext_tiny,10,0.5988008436584472,0.8144,1.1788629197120666,0.6915
42,convnext_tiny,11,0.4919619879579544,0.84348,1.1555672563552857,0.7041
42,convnext_tiny,12,0.3907134782648087,0.8749,1.2444167059898377,0.7084
42,convnext_tiny,13,0.31215001685976984,0.89928,1.2393477065086365,0.7167
42,convnext_tiny,14,0.24000782754778863,0.9225,1.3707664896011353,0.7108
42,convnext_tiny,15,0.18399452042371034,0.94116,1.3898974477767945,0.7211
42,convnext_tiny,16,0.14369328285992145,0.9538,1.3929401313781737,0.7281
42,convnext_tiny,17,0.12116015888258815,0.96136,1.3896688834667206,0.7348
42,convnext_tiny,18,0.10159442667543889,0.96832,1.3853162144660949,0.7343
42,convnext_tiny,19,0.08913280298948288,0.97198,1.3852291848659515,0.7382
42,convnext_tiny,20,0.0798898926576972,0.97536,1.38786921043396,0.7393
