seed,method,accuracy,macro_precision,macro_recall,macro_f1,acc_apple,acc_aquarium_fish,acc_baby,acc_bear,acc_beaver,acc_bed,acc_bee,acc_beetle,acc_bicycle,acc_bottle,acc_bowl,acc_boy,acc_bridge,acc_bus,acc_butterfly,acc_camel,acc_can,acc_castle,acc_caterpillar,acc_cattle,acc_chair,acc_chimpanzee,acc_clock,acc_cloud,acc_cockroach,acc_couch,acc_crab,acc_crocodile,acc_cup,acc_dinosaur,acc_dolphin,acc_elephant,acc_flatfish,acc_forest,acc_fox,acc_girl,acc_hamster,acc_house,acc_kangaroo,acc_keyboard,acc_lamp,acc_lawn_mower,acc_leopard,acc_lion,acc_lizard,acc_lobster,acc_man,acc_maple_tree,acc_motorcycle,acc_mountain,acc_mouse,acc_mushroom,acc_oak_tree,acc_orange,acc_orchid,acc_otter,acc_palm_tree,acc_pear,acc_pickup_truck,acc_pine_tree,acc_plain,acc_plate,acc_poppy,acc_porcupine,acc_possum,acc_rabbit,acc_raccoon,acc_ray,acc_road,acc_rocket,acc_rose,acc_sea,acc_seal,acc_shark,acc_shrew,acc_skunk,acc_skyscraper,acc_snail,acc_snake,acc_spider,acc_squirrel,acc_streetcar,acc_sunflower,acc_sweet_pepper,acc_table,acc_tank,acc_telephone,acc_television,acc_tiger,acc_tractor,acc_train,acc_trout,acc_tulip,acc_turtle,acc_wardrobe,acc_whale,acc_willow_tree,acc_wolf,acc_woman,acc_worm
42,pca_svm,0.0902,0.07197659293381557,0.09019999999999997,0.05580108084267299,0.23,0.42,0.03,0.0,0.01,0.01,0.01,0.06,0.18,0.33,0.0,0.0,0.09,0.16,0.04,0.0,0.15,0.18,0.0,0.01,0.45,0.17,0.19,0.22,0.58,0.0,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.05,0.0,0.02,0.08,0.03,0.01,0.0,0.04,0.55,0.01,0.0,0.0,0.01,0.01,0.08,0.37,0.05,0.01,0.04,0.56,0.01,0.04,0.0,0.07,0.0,0.13,0.03,0.36,0.25,0.0,0.03,0.01,0.0,0.01,0.02,0.49,0.15,0.01,0.04,0.0,0.08,0.02,0.19,0.21,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.29,0.22,0.05,0.0,0.0,0.03,0.36,0.01,0.0,0.18,0.0,0.0,0.07,0.03,0.02
42,hog_svm,0.2592,0.22098871284428573,0.2592,0.22604391227684226,0.57,0.17,0.06,0.02,0.03,0.29,0.09,0.03,0.48,0.58,0.23,0.05,0.15,0.23,0.11,0.04,0.27,0.33,0.29,0.12,0.62,0.41,0.16,0.3,0.57,0.2,0.1,0.14,0.58,0.32,0.28,0.25,0.1,0.31,0.01,0.05,0.26,0.24,0.16,0.18,0.24,0.61,0.25,0.27,0.01,0.06,0.1,0.43,0.53,0.29,0.0,0.11,0.64,0.6,0.49,0.0,0.31,0.3,0.4,0.15,0.59,0.66,0.33,0.2,0.03,0.0,0.02,0.17,0.67,0.45,0.32,0.6,0.0,0.35,0.08,0.3,0.64,0.01,0.05,0.27,0.04,0.23,0.54,0.15,0.19,0.46,0.42,0.5,0.0,0.09,0.16,0.42,0.05,0.04,0.76,0.35,0.15,0.27,0.05,0.14
42,convnext_tiny,0.7393,0.7425287322923398,0.7392999999999997,0.739207543216542,0.9,0.84,0.62,0.58,0.68,0.8,0.79,0.79,0.84,0.87,0.54,0.59,0.87,0.64,0.75,0.82,0.76,0.86,0.69,0.75,0.85,0.87,0.73,0.79,0.86,0.68,0.7,0.58,0.84,0.73,0.69,0.63,0.67,0.62,0.78,0.52,0.79,0.77,0.69,0.84,0.69,0.89,0.81,0.82,0.48,0.62,0.52,0.68,0.97,0.88,0.57,0.74,0.71,0.94,0.84,0.47,0.85,0.76,0.86,0.65,0.84,0.76,0.79,0.7,0.64,0.61,0.82,0.71,0.92,0.84,0.73,0.83,0.45,0.63,0.6,0.92,0.87,0.64,0.6,0.85,0.6,0.77,0.92,0.66,0.7,0.88,0.72,0.88,0.76,0.83,0.81,0.86,0.63,0.68,0.86,0.7,0.56,0.77,0.52,0.71
42,resnet18,0.7471,0.7490428228737609,0.7471000000000001,0.7467462570757512,0.86,0.84,0.63,0.64,0.66,0.78,0.83,0.79,0.87,0.91,0.57,0.42,0.83,0.7,0.7,0.85,0.77,0.86,0.71,0.73,0.92,0.85,0.71,0.85,0.86,0.68,0.73,0.59,0.85,0.76,0.66,0.75,0.74,0.72,0.78,0.57,0.82,0.71,0.61,0.89,0.69,0.9,0.79,0.79,0.5,0.65,0.51,0.73,0.95,0.88,0.51,0.74,0.6,0.94,0.86,0.5,0.87,0.79,0.89,0.7,0.9,0.72,0.76,0.69,0.52,0.68,0.8,0.68,0.93,0.81,0.76,0.82,0.5,0.55,0.58,0.95,0.9,0.77,0.73,0.77,0.6,0.76,0.92,0.73,0.73,0.88,0.74,0.85,0.81,0.93,0.82,0.78,0.63,0.58,0.92,0.73,0.65,0.78,0.51,0.75
