seed,method,epoch,train_loss,train_acc,val_loss,val_acc
42,resnet18,1,2.9560202477645876,0.26498,2.132960040092468,0.4274
42,resnet18,2,2.0018972757720945,0.45508,1.7824376598358154,0.5077
42,resnet18,3,1.652842243309021,0.53452,1.5970826934814453,0.5581
42,resnet18,4,1.4238891393280029,0.59338,1.467475984954834,0.595
42,resnet18,5,1.2421578256225585,0.64146,1.3409294061660766,0.6283
42,resnet18,6,1.1077826610183716,0.67446,1.313914478302002,0.6354
42,resnet18,7,0.9654423152351379,0.7114,1.234719792175293,0.6628
42,resnet18,8,0.8504366554355621,0.74058,1.196915623855591,0.6788
42,resnet18,9,0.7307773011016846,0.77308,1.1782529392242431,0.6848
42,resnet18,10,0.6258524746799469,0.80482,1.1308660775184631,0.7063
42,resnet18,11,0.5297991252326966,0.83062,1.098981399822235,0.7154
42,resnet18,12,0.43614409645557406,0.86068,1.132015894126892,0.7209
42,resnet18,13,0.3559357806158066,0.88592,1.1158807920455933,0.7234
42,resnet18,14,0.29794141338586805,0.90472,1.134274398803711,0.7352
42,resnet18,15,0.24332079808235169,0.9224,1.12156234292984,0.7392
42,resnet18,16,0.19562623878359794,0.93642,1.123536363697052,0.741
42,resnet18,17,0.1626066955500841,0.94984,1.1280141805648805,0.7402
42,resnet18,18,0.1434158776986599,0.95486,1.1304855689048767,0.7431
42,resnet18,19,0.12877995628476144,0.96182,1.1153720160484315,0.7471
42,resnet18,20,0.1220462521636486,0.96432,1.114858752822876,0.7469
